symbol,localsymbol,osid,tradedate,previoustradedate,close
ILC.IN,IDEA,3094236,20190719,20190718,18.13
HDS.IN,HDFCLIFE,3153738,20190719,20190718,487.6
ILC.IN,IDEA,3094236,20190722,20190719,17.8
HDS.IN,HDFCLIFE,3153738,20190722,20190719,490.65
WIP.IN,WIPRO,3022645,20190722,20190719,8035.85
REL.IN,RELIANCE,3023127,20190722,20190719,8641.84
WIP.IN,WIPRO,3022645,20190723,20190722,8026.75
REL.IN,RELIANCE,3023127,20190723,20190722,8594.93
ILC.IN,IDEA,3094236,20190723,20190722,17.47
HDS.IN,HDFCLIFE,3153738,20190723,20190722,508.55
ILC.IN,IDEA,3094236,20190724,20190723,16.47
HDS.IN,HDFCLIFE,3153738,20190724,20190723,499.55
WIP.IN,WIPRO,3022645,20190724,20190723,8017.65
REL.IN,RELIANCE,3023127,20190724,20190723,8497.41
WIP.IN,WIPRO,3022645,20190725,20190724,7958.47
REL.IN,RELIANCE,3023127,20190725,20190724,8311.15
ILC.IN,IDEA,3094236,20190725,20190724,16.06
HDS.IN,HDFCLIFE,3153738,20190725,20190724,501.2
ILC.IN,IDEA,3094236,20190726,20190725,15.31
HDS.IN,HDFCLIFE,3153738,20190726,20190725,499.1
WIP.IN,WIPRO,3022645,20190726,20190725,7999.44
REL.IN,RELIANCE,3023127,20190726,20190725,8191.69
WIP.IN,WIPRO,3022645,20190729,20190726,7963.02
REL.IN,RELIANCE,3023127,20190729,20190726,8172.46
ILC.IN,IDEA,3094236,20190729,20190726,11.18
HDS.IN,HDFCLIFE,3153738,20190729,20190726,485.35
ILC.IN,IDEA,3094236,20190730,20190729,10.76
HDS.IN,HDFCLIFE,3153738,20190730,20190729,483.1
WIP.IN,WIPRO,3022645,20190730,20190729,7959.99
REL.IN,RELIANCE,3023127,20190730,20190729,7969.66
WIP.IN,WIPRO,3022645,20190731,20190730,8051.03
REL.IN,RELIANCE,3023127,20190731,20190730,7870.79
ILC.IN,IDEA,3094236,20190731,20190730,11.34
HDS.IN,HDFCLIFE,3153738,20190731,20190730,493.5
ILC.IN,IDEA,3094236,20190801,20190731,11.01
HDS.IN,HDFCLIFE,3153738,20190801,20190731,487.95
WIP.IN,WIPRO,3022645,20190801,20190731,8205.79
REL.IN,RELIANCE,3023127,20190801,20190731,7965.27
WIP.IN,WIPRO,3022645,20190802,20190801,8000.95
REL.IN,RELIANCE,3023127,20190802,20190801,7992.94
ILC.IN,IDEA,3094236,20190802,20190801,10.51
HDS.IN,HDFCLIFE,3153738,20190802,20190801,494.35
ILC.IN,IDEA,3094236,20190805,20190802,9.93
HDS.IN,HDFCLIFE,3153738,20190805,20190802,487.15
WIP.IN,WIPRO,3022645,20190805,20190802,7950.88
REL.IN,RELIANCE,3023127,20190805,20190802,7716.24
WIP.IN,WIPRO,3022645,20190806,20190805,7856.8
REL.IN,RELIANCE,3023127,20190806,20190805,7614.67
ILC.IN,IDEA,3094236,20190806,20190805,9.35
HDS.IN,HDFCLIFE,3153738,20190806,20190805,512.1
ILC.IN,IDEA,3094236,20190807,20190806,8.86
HDS.IN,HDFCLIFE,3153738,20190807,20190806,518.1
WIP.IN,WIPRO,3022645,20190807,20190806,7967.57
REL.IN,RELIANCE,3023127,20190807,20190806,7487.12
WIP.IN,WIPRO,3022645,20190808,20190807,8064.68
REL.IN,RELIANCE,3023127,20190808,20190807,7776.98
ILC.IN,IDEA,3094236,20190808,20190807,9.35
HDS.IN,HDFCLIFE,3153738,20190808,20190807,522.9
ILC.IN,IDEA,3094236,20190809,20190808,8.86
HDS.IN,HDFCLIFE,3153738,20190809,20190808,526.75
WIP.IN,WIPRO,3022645,20190809,20190808,7996.4
REL.IN,RELIANCE,3023127,20190809,20190808,7842.78
WIP.IN,WIPRO,3022645,20190813,20190809,7844.67
REL.IN,RELIANCE,3023127,20190813,20190809,8603.03
ILC.IN,IDEA,3094236,20190813,20190809,8.28
HDS.IN,HDFCLIFE,3153738,20190813,20190809,519.35
ILC.IN,IDEA,3094236,20190814,20190813,9.35
HDS.IN,HDFCLIFE,3153738,20190814,20190813,517
WIP.IN,WIPRO,3022645,20190814,20190813,7618.58
REL.IN,RELIANCE,3023127,20190814,20190813,8694.14
WIP.IN,WIPRO,3022645,20190816,20190814,7562.44
REL.IN,RELIANCE,3023127,20190816,20190814,8624.97
ILC.IN,IDEA,3094236,20190816,20190814,10.68
HDS.IN,HDFCLIFE,3153738,20190816,20190814,540.15
ILC.IN,IDEA,3094236,20190819,20190816,9.93
HDS.IN,HDFCLIFE,3153738,20190819,20190816,524.55
WIP.IN,WIPRO,3022645,20190819,20190816,7650.45
REL.IN,RELIANCE,3023127,20190819,20190816,8723.5
WIP.IN,WIPRO,3022645,20190820,20190819,7686.87
REL.IN,RELIANCE,3023127,20190820,20190819,8611.13
ILC.IN,IDEA,3094236,20190820,20190819,9.69
HDS.IN,HDFCLIFE,3153738,20190820,20190819,527.9
ILC.IN,IDEA,3094236,20190821,20190820,9.27
HDS.IN,HDFCLIFE,3153738,20190821,20190820,530.7
WIP.IN,WIPRO,3022645,20190821,20190820,7659.55
REL.IN,RELIANCE,3023127,20190821,20190820,8577.39
WIP.IN,WIPRO,3022645,20190822,20190821,7648.93
REL.IN,RELIANCE,3023127,20190822,20190821,8414.07
ILC.IN,IDEA,3094236,20190822,20190821,8.77
HDS.IN,HDFCLIFE,3153738,20190822,20190821,528.45
ILC.IN,IDEA,3094236,20190823,20190822,9.52
HDS.IN,HDFCLIFE,3153738,20190823,20190822,517.2
WIP.IN,WIPRO,3022645,20190823,20190822,7629.21
REL.IN,RELIANCE,3023127,20190823,20190822,8610.46
WIP.IN,WIPRO,3022645,20190826,20190823,7559.41
REL.IN,RELIANCE,3023127,20190826,20190823,8549.38
ILC.IN,IDEA,3094236,20190826,20190823,9.11
HDS.IN,HDFCLIFE,3153738,20190826,20190823,526.4
ILC.IN,IDEA,3094236,20190827,20190826,8.77
HDS.IN,HDFCLIFE,3153738,20190827,20190826,555.2
WIP.IN,WIPRO,3022645,20190827,20190826,7589.76
REL.IN,RELIANCE,3023127,20190827,20190826,8603.71
WIP.IN,WIPRO,3022645,20190828,20190827,7563.96
REL.IN,RELIANCE,3023127,20190828,20190827,8525.76
ILC.IN,IDEA,3094236,20190828,20190827,8.28
HDS.IN,HDFCLIFE,3153738,20190828,20190827,547.7
ILC.IN,IDEA,3094236,20190829,20190828,8.03
HDS.IN,HDFCLIFE,3153738,20190829,20190828,541.7
WIP.IN,WIPRO,3022645,20190829,20190828,7550.3
REL.IN,RELIANCE,3023127,20190829,20190828,8380.32
WIP.IN,WIPRO,3022645,20190830,20190829,7720.25
REL.IN,RELIANCE,3023127,20190830,20190829,8426.21
ILC.IN,IDEA,3094236,20190830,20190829,8.86
HDS.IN,HDFCLIFE,3153738,20190830,20190829,557.15
ILC.IN,IDEA,3094236,20190903,20190830,8.44
HDS.IN,HDFCLIFE,3153738,20190903,20190830,536.75
WIP.IN,WIPRO,3022645,20190903,20190830,7697.49
REL.IN,RELIANCE,3023127,20190903,20190830,8141.75
WIP.IN,WIPRO,3022645,20190904,20190903,7770.32
REL.IN,RELIANCE,3023127,20190904,20190903,8106.32
ILC.IN,IDEA,3094236,20190904,20190903,8.28
HDS.IN,HDFCLIFE,3153738,20190904,20190903,535.65
ILC.IN,IDEA,3094236,20190905,20190904,8.44
HDS.IN,HDFCLIFE,3153738,20190905,20190904,528.5
WIP.IN,WIPRO,3022645,20190905,20190904,7756.66
REL.IN,RELIANCE,3023127,20190905,20190904,8089.11
WIP.IN,WIPRO,3022645,20190906,20190905,7647.41
REL.IN,RELIANCE,3023127,20190906,20190905,8250.41
ILC.IN,IDEA,3094236,20190906,20190905,8.53
HDS.IN,HDFCLIFE,3153738,20190906,20190905,529.9
ILC.IN,IDEA,3094236,20190909,20190906,8.77
HDS.IN,HDFCLIFE,3153738,20190909,20190906,530.9
WIP.IN,WIPRO,3022645,20190909,20190906,7756.66
REL.IN,RELIANCE,3023127,20190909,20190906,8248.38
WIP.IN,WIPRO,3022645,20190911,20190909,7530.58
REL.IN,RELIANCE,3023127,20190911,20190909,8330.72
ILC.IN,IDEA,3094236,20190911,20190909,9.52
HDS.IN,HDFCLIFE,3153738,20190911,20190909,537.9
ILC.IN,IDEA,3094236,20190912,20190911,9.19
HDS.IN,HDFCLIFE,3153738,20190912,20190911,537.85
WIP.IN,WIPRO,3022645,20190912,20190911,7421.33
REL.IN,RELIANCE,3023127,20190912,20190911,8168.41
WIP.IN,WIPRO,3022645,20190913,20190912,7445.61
REL.IN,RELIANCE,3023127,20190913,20190912,8271.33
ILC.IN,IDEA,3094236,20190913,20190912,8.94
HDS.IN,HDFCLIFE,3153738,20190913,20190912,540.4
ILC.IN,IDEA,3094236,20190916,20190913,8.69
HDS.IN,HDFCLIFE,3153738,20190916,20190913,537.65
WIP.IN,WIPRO,3022645,20190916,20190913,7498.71
REL.IN,RELIANCE,3023127,20190916,20190913,8171.11
